 0	5
 1	11
 2	10
 3	13
 4	5
 5	11
 6	12
 7	10
 8	10
 9	8
10	10
11	11
12	14
13	14
14	9
15	10
16	16
17	13
18	10
19	9
20	9
21	14
22	7
23	11
24	6
25	9
26	9
27	10
28	9
29	13
30	13
31	14
32	8
33	4
34	17
35	9
36	9
37	10
38	10
39	17
40	12
41	13
42	10
43	9
44	6
45	5
46	14
47	6
48	14
49	14
50	6
51	11
52	10
53	10
54	9
55	8
56	12
57	9
58	7
59	7
60	9
61	14
62	13
63	8
64	8
65	7
66	6
67	9
68	8
69	12
70	9
71	9
72	8
73	12
74	11
75	9
76	8
77	9
78	6
79	15
80	5
81	8
82	3
83	13
84	6
85	9
86	13
87	10
88	9
89	9
90	9
91	14
92	11
93	11
94	9
95	10
96	14
97	7
98	9
99	13
100	7
