 0	5
 1	8
 2	11
 3	10
 4	10
 5	10
 6	10
 7	11
 8	9
 9	11
10	8
11	11
12	10
13	9
14	10
15	10
16	12
17	9
18	11
19	9
20	10
21	10
22	10
23	11
24	10
25	10
26	8
27	11
28	10
29	10
30	10
31	10
32	11
33	9
34	11
35	9
36	11
37	10
38	8
39	10
40	10
41	12
42	9
43	11
44	9
45	10
46	10
47	10
48	11
49	10
50	10
51	8
52	11
53	10
54	10
55	10
56	10
57	11
58	9
59	11
60	8
61	11
62	10
63	9
64	10
65	10
66	12
67	9
68	11
69	9
70	10
71	10
72	10
73	11
74	10
75	10
76	8
77	11
78	10
79	10
80	10
81	10
82	11
83	9
84	11
85	8
86	11
87	10
88	9
89	10
90	10
91	12
92	9
93	11
94	9
95	10
96	10
97	10
98	11
99	10
100	5
