 0	6
 1	8
 2	2
 3	6
 4	10
 5	5
 6	1
 7	6
 8	6
 9	7
10	3
11	7
12	6
13	6
14	6
15	5
16	4
17	3
18	7
19	5
20	4
21	5
22	6
23	8
24	6
25	4
26	3
27	6
28	7
29	4
30	4
31	2
32	7
33	7
34	4
35	4
36	6
37	3
38	5
39	4
40	5
41	4
42	5
43	3
44	5
45	5
46	6
47	5
48	3
49	4
50	7
51	4
52	4
53	4
54	5
55	7
56	4
57	3
58	6
59	6
60	10
61	10
62	2
63	7
64	3
65	3
66	7
67	7
68	4
69	3
70	5
71	5
72	8
73	3
74	6
75	6
76	9
77	3
78	2
79	7
80	3
81	4
82	4
83	1
84	5
85	2
86	2
87	4
88	4
89	5
90	5
91	5
92	4
93	3
94	4
95	7
96	2
97	6
98	10
99	5
100	2
