 0	9
 1	12
 2	12
 3	10
 4	9
 5	14
 6	5
 7	10
 8	10
 9	11
10	10
11	16
12	8
13	7
14	18
15	11
16	6
17	9
18	9
19	6
20	5
21	7
22	6
23	9
24	11
25	19
26	6
27	9
28	12
29	10
30	9
31	13
32	7
33	10
34	11
35	9
36	11
37	16
38	9
39	15
40	12
41	10
42	13
43	8
44	16
45	11
46	10
47	13
48	11
49	10
50	7
51	10
52	11
53	5
54	7
55	8
56	7
57	8
58	15
59	10
60	10
61	17
62	7
63	8
64	5
65	5
66	10
67	9
68	11
69	8
70	13
71	6
72	5
73	17
74	15
75	7
76	14
77	15
78	10
79	3
80	11
81	8
82	10
83	7
84	11
85	8
86	4
87	7
88	12
89	11
90	17
91	8
92	8
93	8
94	7
95	9
96	5
97	13
98	13
99	14
100	6
